LNF_code,Crop_DE,Crop_EN,HCATv4_Identifier
625,Waldweiden (ohne bewaldete Fläche),Wooded pastures (excluding forested area),3320100000
631,Futterleguminosen für die Samenproduktion (Vertragsanbau),Forage legumes for seed production (contract farming),3310202990
632,Futtergräser für die Samenproduktion (Vertragsanbau),Forage grasses for seed production (contract farming),3320201000
634,Uferwiesen entlang von Fliessgewässern (ohne Weiden),Riparian meadows along flowing waters (excluding pastures),3320100000
635,Uferwiesen (ohne Weiden),Riparian meadows (excluding pastures),3320100000
660,"Übrige Dauerweiden, beitragsberechtigt aggregiert","Other permanent pastures, eligible for contributions (aggregated)",3320100000
693,Regionsspezifische Biodiversitätsförderflächen (Weiden),Region-specific biodiversity promotion areas (pastures),3320100000
694,Regionsspezifische Biodiversitätsförderfläche (Grünflächen ohne Weiden),Region-specific biodiversity promotion areas (grasslands excluding pastures),3320100000
697,"Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt","Other grassland (permanent grassland), eligible for contributions",3320100000
698,"Übrige Grünfläche (Dauergrünflächen), nicht beitragsberechtigt","Other grassland (permanent grassland), not eligible for contributions",3320100000
701,Reben,Vineyards,3330600000
702,Obstanlagen (Äpfel),Fruit orchards (apples),3330102000
703,Obstanlagen (Birnen),Fruit orchards (pears),3330112000
704,Obstanlagen (Steinobst),Fruit orchards (stone fruits),3330100000
705,Mehrjährige Beeren,Perennial berries,3330200000
706,Mehrjährige Gewürz- und Medizinalpflanzen,Perennial spice and medicinal plants,3310612000
707,"Mehrjährige nachwachsende Rohstoffe (Chinaschilf, usw.)",Perennial renewable raw materials (e.g. miscanthus),3310800000
708,Hopfen,Hops,3310602000
709,Rhabarber,Rhubarb,3310709000
710,Spargel,Asparagus,3310706000
711,Pilze (Freiland),Mushrooms (open field),3340300000
712,Christbäume,Christmas trees,3369900000
713,Baumschule von Forstpflanzen ausserhalb der Forstzone,Forest plant nurseries outside forest zones,3330700000
714,"Ziersträucher, Ziergehölze und Zierstauden","Ornamental shrubs, woody ornamentals and perennials",3330700000
715,"Übrige Baumschulen (Rosen, Früchte, usw.)","Other nurseries (roses, fruit trees, etc.)",3330700000
717,Rebflächen mit natürlicher Artenvielfalt,Vineyard areas with natural biodiversity,3330600000
718,Trüffelanlagen,Truffle plantations,3340200000
719,Maulbeerbaumanlagen (Fütterung Seidenraupen),Mulberry plantations (feeding silkworms),3369900000
