LNF_code,Crop_DE,Crop_EN,Crop_FR,Crop_IT,Valid_from,Valid_until,Overlapping,BPA_QI ,Special_culture,Crop_Label,Crop_Label_lv1,Crop_Label_lv2,Crop_Label_lv3,Exclude,Avg_Area_ha,2019_Area_m2,2020_Area_m2,2021_Area_m22,2022_Area_m23,2023_Area_m24,2024_Area_m25,2025_Area_m26
650,"Übrige Dauerwiesen, beitragsberechtigt aggregiert","Other permanent meadows, eligible for contributions (aggregated)","Autres prairies permanentes, avec contributions, agrégée","Altra superficie inerbita, con contributi, aggregata",,2022.0,0.0,0.0,0.0,,,,,True,0,,,,,,,
660,"Übrige Dauerweiden, beitragsberechtigt aggregiert","Other permanent pastures, eligible for contributions (aggregated)","Autres pâturages permanentes, avec contributions, agrégée","Altri pascoli perenni, con contributi, aggregata",,2022.0,0.0,0.0,0.0,Intensive Pasture,Intensive Pasture,Pasture,Grassland,,0,2868,3636,3636,768,122,122,122
693,Regionsspezifische Biodiversitätsförderflächen (Weiden),Region-specific biodiversity promotion areas (pastures),Surfaces de promotion de la biodiversité spécifiques à la région (pâturages),Superfici per la promozione della biodiversità specifiche di una regione (pascoli),,,0.0,1.0,0.0,Extensive Pasture,Extensive Pasture,Pasture,Grassland,,40,202370,205816,235140,252378,599399,613028,669600
694,Regionsspezifische Biodiversitätsförderfläche (Grünflächen ohne Weiden),Region-specific biodiversity promotion areas (grasslands excluding pastures),"Surfaces de promotion de la biodiversité spécifiques à la région (Surface herbagère, sauf les pâturages)","Superfici per la promozione della biodiversità specifiche di una regione (superfici inerbite, senza pascoli)",,,0.0,1.0,0.0,Extensive Meadow,Extensive Meadow,Meadow,Grassland,,2941,1795302,31176687,32947915,33959326,34781315,35366833,35853339
697,"Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt","Other grassland (permanent grassland), eligible for contributions",Autres surfaces herbagères (surface herbagère permanente) avec contributions,"Altre superfici (permanentemente) inerbite, con contributi",,,0.0,0.0,0.0,Intensive Meadow,Intensive Meadow,Meadow,Grassland,,259,1923219,2122439,2681194,2550952,2807975,3030310,3005568
698,"Übrige Grünfläche (Dauergrünflächen), nicht beitragsberechtigt","Other grassland (permanent grassland), not eligible for contributions",Autres surfaces herbagères (surface herbagère permanente) sans contributions,"Altre superfici (permanentemente) inerbite, senza contributi",,,0.0,0.0,0.0,Intensive Meadow,Intensive Meadow,Meadow,Grassland,,644,6197593,5923983,6708909,6500280,6456061,6618231,6682957
701,Reben,Vineyards,Vignes,Vigna,,,0.0,0.0,1.0,Vines,Vines,Orchard,Permanent,,7885,54667446,91779580,88875586,80640738,80696938,78332193,76985323
702,Obstanlagen (Äpfel),Fruit orchards (apples),Cultures fruitières (pommes),Frutteto (mele),,,0.0,0.0,1.0,Apples,Tree Crops,Orchard,Permanent,,3724,31309098,40413728,37448440,36861198,38392911,38203720,38085611
703,Obstanlagen (Birnen),Fruit orchards (pears),Cultures fruitières (poires),Frutteto (pere),,,0.0,0.0,1.0,Pears,Tree Crops,Orchard,Permanent,,720,4585829,7717293,7296326,7507762,7769097,7720790,7798454
704,Obstanlagen (Steinobst),Fruit orchards (stone fruits),Cultures fruitières (fruits à noyau),Frutteto (frutta a nocciolo),,,0.0,0.0,1.0,Stone Fruit,Tree Crops,Orchard,Permanent,,1580,10398999,17134142,15980530,16039107,17140016,17027095,16902920
